Model,ROC-AUC,PR-AUC,Precision,Recall,F1-Score
XGBoost,0.7519828405830806,0.2377979347835935,0.17019256132946453,0.6497482376636455,0.2697324414715719
Logistic Regression,0.7417721033331164,0.2190625315863189,0.15904639052123645,0.6704934541792548,0.25710534445474204
Random Forest,0.7389115474101013,0.21313261904921973,0.16784984403571043,0.628600201409869,0.2649518230824738
