Feature,PSI
AMT_INCOME_TOTAL,0.45004742397120895
AMT_CREDIT,0.13238966067860286
EXT_SOURCE_3,0.0003899066260775534
AMT_ANNUITY,0.00027773492054200354
EXT_SOURCE_2,0.00012483773379976182
