Feature,Importance
cat__ORGANIZATION_TYPE_Trade: type 3,0.0043755746
num__LIVE_REGION_NOT_WORK_REGION,0.004364824
cat__OCCUPATION_TYPE_Medicine staff,0.0043634577
cat__ORGANIZATION_TYPE_Industry: type 11,0.004360891
cat__ORGANIZATION_TYPE_Postal,0.00434859
cat__ORGANIZATION_TYPE_Security,0.004342551
cat__ORGANIZATION_TYPE_Housing,0.004323768
cat__ORGANIZATION_TYPE_Telecom,0.004314919
num__FLAG_DOCUMENT_5,0.004305163
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.004284105
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0042669415
cat__OCCUPATION_TYPE_Laborers,0.0042234943
cat__ORGANIZATION_TYPE_Trade: type 7,0.0042220457
num__AMT_REQ_CREDIT_BUREAU_HOUR,0.00421474
cat__NAME_FAMILY_STATUS_Civil marriage,0.0042082607
cat__ORGANIZATION_TYPE_Realtor,0.00417427
cat__OCCUPATION_TYPE_Managers,0.0041681733
cat__ORGANIZATION_TYPE_Legal Services,0.004152828
cat__NAME_EDUCATION_TYPE_Academic degree,0.004151534
cat__NAME_INCOME_TYPE_Commercial associate,0.0041247834
cat__ORGANIZATION_TYPE_Culture,0.0041187643
cat__ORGANIZATION_TYPE_Other,0.004118714
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.004077051
cat__FLAG_OWN_REALTY_N,0.0040355087
cat__ORGANIZATION_TYPE_Services,0.004029792
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0039886986
cat__ORGANIZATION_TYPE_Industry: type 2,0.0039686
cat__ORGANIZATION_TYPE_Agriculture,0.0039433544
num__FLAG_DOCUMENT_6,0.0039379927
cat__ORGANIZATION_TYPE_Industry: type 1,0.003912018
cat__OCCUPATION_TYPE_Realty agents,0.0038605912
num__CNT_CHILDREN,0.0038357503
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.003813776
num__FLAG_DOCUMENT_9,0.0038101084
"cat__NAME_TYPE_SUITE_Spouse, partner",0.003809331
cat__OCCUPATION_TYPE_HR staff,0.003582186
cat__NAME_HOUSING_TYPE_With parents,0.0035785125
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0034900238
cat__ORGANIZATION_TYPE_Cleaning,0.0034307723
num__REG_REGION_NOT_WORK_REGION,0.0034157296
cat__NAME_TYPE_SUITE_Other_B,0.003370598
num__FLAG_DOCUMENT_2,0.0032991013
num__FLAG_DOCUMENT_17,0.0032037185
num__FLAG_DOCUMENT_21,0.0031970965
cat__NAME_TYPE_SUITE_Group of people,0.0031734074
num__FLAG_CONT_MOBILE,0.0031179937
cat__ORGANIZATION_TYPE_Trade: type 4,0.0031045305
cat__OCCUPATION_TYPE_Cooking staff,0.003076298
cat__NAME_INCOME_TYPE_Unemployed,0.0029239699
cat__ORGANIZATION_TYPE_Trade: type 5,0.0028106454
num__FLAG_DOCUMENT_20,0.0
num__FLAG_DOCUMENT_10,0.0
num__FLAG_DOCUMENT_4,0.0
num__FLAG_MOBIL,0.0
num__FLAG_DOCUMENT_12,0.0
cat__CODE_GENDER_XNA,0.0
cat__NAME_INCOME_TYPE_Student,0.0
cat__NAME_FAMILY_STATUS_Unknown,0.0
cat__NAME_INCOME_TYPE_Businessman,0.0
cat__NAME_INCOME_TYPE_Maternity leave,0.0
cat__ORGANIZATION_TYPE_Industry: type 13,0.0
cat__ORGANIZATION_TYPE_Industry: type 8,0.0
cat__ORGANIZATION_TYPE_Industry: type 6,0.0
cat__ORGANIZATION_TYPE_Religion,0.0
cat__ORGANIZATION_TYPE_Mobile,0.0
